request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 44,744,796.24 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 41,017.28 available over the next 90 days."
request_28,192.02,affordable_later,wait,2024-08-20:1302.4,2024-08-20,none,"Pay EUR 1,302.40 in full on 2024-08-20. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,1773.58,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 1,773.58 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 1,656.39 available."
request_31,2681545.45,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,13267.91,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018 request. Although ZAR 13,267.91 is available today, the full amount cannot be completed safely within 90 days."
request_33,29846.01,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 118,000 request. Although INR 29,846.01 is available today, the full amount cannot be completed safely within 90 days."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 285,930.55 available over the next 90 days."
request_35,24227.6,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,576.72,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,2731554.32,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 14,649,000 request. Although IDR 2,731,554.32 is available today, the full amount cannot be completed safely within 90 days."
request_38,160.01,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,56450.41,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,350.29,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,290.30 request. Although EUR 350.29 is available today, the full amount cannot be completed safely within 90 days."
request_41,8193260.26,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 146,403.80 available over the next 90 days."
request_43,8374581.57,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,38347.37,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 2025-04-15. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,3473478.83,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,34748.19,affordable_with_plan,partial_payment,2024-12-03:34748.19|2024-12-15:14701.81,2024-12-15,none,"Pay INR 34,748.19 today and the remaining INR 14,701.81 on 2024-12-15. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,21330001.32,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,114,000 request. Although IDR 21,330,001.32 is available today, the full amount cannot be completed safely within 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 76,160.99 available over the next 90 days."
request_49,13298978.75,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,313,620.09 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 147,040.38 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 13,524,304.15 available over the next 90 days."
request_52,19060.99,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,468.73,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,141.10 available."
request_54,2122.51,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,122.51 is available today, the full amount cannot be completed safely within 90 days."
request_55,129870.32,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 135,668.15 available."
request_56,629.9,affordable_with_plan,partial_payment,2025-02-03:629.9|2025-02-15:251.66,2025-02-15,none,"Pay USD 629.90 today and the remaining USD 251.66 on 2025-02-15. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12902.83,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 20,983,047.24 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 248,681.63 available."
request_60,114.49,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Pay USD 199.89 in full on 2026-02-15. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 37,979.09 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 3,451.59 available over the next 90 days."
request_63,37277.65,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 37,277.65 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 63,700 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
request_65,5858.71,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,858.71 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 196,758.81 available over the next 90 days."
request_67,299.91,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 2024-11-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1325.91,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the USD 1,500 minimum protected."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 726.08 available over the next 90 days.
request_70,49776.99,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 2025-02-15. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,585816.1,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 585,816.10 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,471.85 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 109,022.98 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 43,329.58 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This leaves at least ZAR 129,103.91 available."
request_76,410.45,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800 minimum protected."
request_77,59273.84,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Pay INR 60,700 in full on 2025-11-15. Paying earlier would take the balance below the INR 82,200 minimum."
request_78,46129.73,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Pay INR 50,200 in full on 2025-10-15. Paying earlier would take the balance below the INR 55,200 minimum."
request_79,316.01,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 316.01 is available today, the full amount cannot be completed safely within 90 days."
request_80,99788.73,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500 request. Although INR 99,788.73 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,717.74 available over the next 90 days."
request_82,191.65,affordable_later,wait,2025-02-20:1405.2,2025-02-20,none,"Pay USD 1,405.20 in full on 2025-02-20. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,11716.2,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 11,716.20 is available today, the full amount cannot be completed safely within 90 days."
request_84,32543.74,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 2026-06-15. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,696054.92,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 696,054.92 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 88,744.88 available over the next 90 days."
request_87,18085.33,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 18,085.33 is available today, the full amount cannot be completed safely within 90 days."
request_88,10759.01,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 27,513.78 available."
request_89,9240198.23,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 12,534,700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 20,663.85 available over the next 90 days."
request_91,482.49,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,31915.8,affordable_later,wait,2025-02-24:34034,2025-02-24,none,"Pay ZAR 34,034 in full on 2025-02-24. Paying earlier would take the balance below the ZAR 28,100 minimum."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,993.04 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. This leaves at least EUR 1,299.48 available over the next 90 days."
request_95,5927.92,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 5,927.92 is available today, the full amount cannot be completed safely within 90 days."
request_96,73871.26,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 60,517.56 available."
